category,name,count,percentage
top_skills,Project Management,187,60.0
top_skills,Agile Methodology,156,50.0
top_skills,Risk Management,143,45.8
top_skills,Stakeholder Management,134,43.0
top_skills,Business Analysis,128,41.0
top_certifications,PMP (Project Management Professional),89,28.5
top_certifications,PRINCE2 Practitioner,67,21.5
top_certifications,Scrum Master (CSM/PSM),54,17.3
top_certifications,ITIL Foundation,48,15.4
top_certifications,Lean Six Sigma Green Belt,31,9.9
training_sources,Coursera,52,16.7
training_sources,Udemy,46,14.8
training_sources,British Council,41,13.0
training_sources,Università degli Studi di Torino,35,11.1
training_sources,Cambridge English,35,11.1
