category,key,value,percentage
age_distribution,< 25,3.0,1.9
age_distribution,25-34,65.0,41.4
age_distribution,35-44,52.0,33.1
age_distribution,45-54,23.0,14.6
age_distribution,55+,14.0,8.9
average_age,avg_age,37.9,
gender_trend,2021_Unknown,18.0,19.4
gender_trend,2021_female,39.0,41.9
gender_trend,2021_male,35.0,37.6
gender_trend,2021_unisex,1.0,1.1
gender_trend,2022_Unknown,22.0,17.3
gender_trend,2022_female,57.0,44.9
gender_trend,2022_male,47.0,37
gender_trend,2022_unisex,1.0,0.8
gender_trend,2023_Unknown,22.0,15.5
gender_trend,2023_female,65.0,45.8
gender_trend,2023_male,53.0,37.3
gender_trend,2023_unisex,2.0,1.4
gender_trend,2024_Unknown,28.0,17.9
gender_trend,2024_female,69.0,44.2
gender_trend,2024_male,57.0,36.5
gender_trend,2024_unisex,2.0,1.3
gender_trend,2025_Unknown,26.0,16.3
gender_trend,2025_female,73.0,45.6
gender_trend,2025_male,59.0,36.9
gender_trend,2025_unisex,2.0,1.3
education_level,First degree university diploma,84.0,62.2
education_level,Other type of private or public education,49.0,36.3
education_level,Second degree university diploma,37.0,27.4
education_level,Upper secondary education institution,30.0,22.2
education_level,Post secondary trade or vocational school,11.0,8.1
