category,name,count,percentage
top_skills,Customer Service,47,32.4
top_skills,Project Planning,45,31
top_skills,Business Analysis,35,24.1
top_skills,Strategic Planning,34,23.4
top_skills,Process Improvement,32,22.1
top_certifications,PRINCE2 Agile Foundation & Practitioner,14,17.3
top_certifications,APM Project Fundamentals Qualification,12,14.8
top_certifications,PRINCE2 Foundation and Practitioner Certification,10,12.3
top_certifications,Unknown,9,11.1
top_certifications,PRINCE2 Practitioner,6,7.4
training_sources,Association for Project Management,21,25.9
training_sources,PeopleCert,19,23.5
training_sources,AXELOS Global Best Practice,18,22.2
training_sources,BCS The Chartered Institute for IT,11,13.6
training_sources,APMG International,10,12.3
